Tabelle 1
Label	Energie (kcal/mol)
[H][O][S][O][O]{0,2} + [H][O]{0,2} => [H][O][S][O]{0,2} + [O]{0,1} + [H][O]{0,2}	8.88
[H][O]([H])[S]{0,1} + [O][O]{0,1} => [H][O][H]{0,1} + [O][O][S]{0,1}	0.00
[H][O][O][S][O][O]{0,2} => [H][O][O][S]{0,2} + [O][O]{0,3}	4.85
[H][O][O][S][O]{0,2} + [O][O]{0,3} => [H][O]{0,2} + [O][S][O]{0,1} + [O][O]{0,3}	12.52
[H][O][O][H]{0,1} + [O][S][O]{0,1} => [H][O][O]{0,2} + [H][O][S][O]{0,2}	26.89
[H][O][S]{0,2} + [O][O]{0,1} => [H][O][S][O][O]{0,2}	6.08
[H][O][O][H]{0,1} + [H][O][O][S][O][O]{0,2} => [H][O][O][S][O][O][H]{0,1} + [H][O][O]{0,2}	14.46
[H][O][O][O][S][O][O][O][O]{0,2} => [H][O][O]{0,2} + [O][S][O][O][O][O]{0,1}	2.36
[H][O][H]{0,1} + [H][O][S]{0,2} => [H][O][O][H]{0,1} + [H][S]{0,2}	15.02
H][O][H]{0,1} + [H][O][O]{0,2} + [O][S]{0,1} => [H][O][H]{0,1} + [H][S][O]{0,2} + [O][O]{0,1}	28.37
[H][O][O][O]{0,2} => [H][O]{0,2} + [O][O]{0,1}	6.19
[H][O][H]{0,1} + [H][O][O][S]{0,2} => [H][O][O][S][H]{0,1} + [H][O]{0,2}	4.13
[O][O][S][O][O]{0,3} => [O]1[O][S]1{0,1} + [O][O]{0,1}	28.69
[H][O]{0,2}+ [O][S]([H])[H]{0,2} => [H][O][S][H]{0,1} + [H][O]{0,2}	39.39
[H][O][H]{0,1} + [O][S][O]{0,1} => [H][O][S]([O])[O][H]{0,1}	28.67
[H][O][O][S][O]{0,2} => [O][O]([H])[S][O]{0,2}	8.88
[H][O][S]{0,2} => [H]{0,2} + [O][S]{0,1}	18.45
[H][O][S]([O])[O][H]{0,1} + [O]{0,3} => [H][O][S][O][H]{0,1} + [O][O]{0,3}	49.18
[H][O][O][S][O]{0,2} => [O][O][S][O][H]{0,2}	1.30
[H][O][S][O][O][O][O]{0,2} => [H][O][S][O][O]{0,2} + [O][O]{0,1}	5.90
[H][O][O][H]{0,1} + [O][O]{0,3} => [H][O][O]{0,2} + [H][O][O]{0,2}	11.10
[H][O][O][H]{0,1} + [H][O][O][S]{0,2} => [H][O][O][S][H]{0,1} + [H][O][O]{0,2}	9.21
[H][O][O][S][O]{0,2} + [O][O]{0,1} => [H][O][S][O][O]{0,2} + [O][O]{0,1}	13.51
[H][O][O]{0,2} + [O][S]{0,1} => [H][S][O]{0,2} + [O][O]{0,3}	13.25
[H][O][H]{0,1} + [H][O]{0,2} + [H][O][O][O][S][H]{0,1} => [H][O][H]{0,1} + [H][O][O][O][S]{0,2} + [H][O][H]{0,2}	13.79
[H][O][O][O][H]{0,1} + [O][S]([O][H])[O]{0,1} => [H][O][O][O]{0,2} + [H][O][S]([O])[O][H]{0,1}	10.54
[H][O]([H])[H]{0,2} + [O][S]([O])[O]{0,1} => [H][O][H]{0,1} + [H][O][S]([O])[O]{0,2}	10.53
[H][O][S][O][H]{0,1} => [H][O][H]{0,1} + [O][S]{0,1}	28.81
[O][O][S][O]{0,3} => [O][O]{0,1} + [O][S]{0,3}	6.85
[H][O][O][O][H]{0,1} => [H][O][O]{0,2} + [H][O]{0,2}	0.00
[H][O][S][O][O]{0,2} => [H][O][O][S][O]{0,2}	1.31
[H][O][O][O][O][S][O]{0,2} => [H][O][O][O]{0,2} + [O][S][O]{0,1}	3.63
[H][O][O][O][O][H]{0,1} + [H][O]{0,2} => [H][O][O]{0,2} + [H][O][O]{0,2} + [H][O]{0,2}	8.22
[H][O][O]{0,2} + [O][S]{0,3} => [H][O][S]{0,2} + [O][O]{0,1}	1.21
[H][O][H]{0,1} + [H][O][S][O][H]{0,1} => [H][O][H]{0,1} + [S][O]{0,2} + [H][O][H]{0,1}	0.83
[H][O][H]{0,1} + [H][O][H]{0,1} + [H][O][O][S][O]{0,2} => [H][O][H]{0,1} + [H][O][H]{0,1} + [H][O][S][O][O]{0,2}	7.94
[H][O][H]{0,1} + [H][O][H]{0,1} + [H][O][S]{0,2} => [H][O][H]{0,1} + [H][O][H]{0,1} + [H][S][O]{0,2}	7.43
[H][O][O][H]{0,1} + [O][S]{0,1} => [H][O][O]{0,2} + [H][O][S]{0,2}	29.55
[H][S][O]{0,2} => [H]{0,2} + [O][S]{0,1}	0.00 
[H][O][H]{0,1} + [H][O]{0,2} + [O][O]{0,3} => [H][O][H]{0,1} + [H][O][O][O]{0,2}	8.68
[H][O][H]{0,1} + [O][O]{0,3} => [H][O][O]{0,2} + [H][O]{0,2}	2.44
[H][O]([H])[H]{1,1} + [O][O]{-1,2} => [H][O][H]{0,1} + [H][O][O]{0,2}	0.55
[H][O][O]{0,2} + [H][O][S][O]{0,2} => [H][O][S][O][H]{0,1} + [O][O]{0,3}	9.03
[H][O]([O])[S]([O])[O][H]{0,1} + [H]{0,2} => [H][O]([O])[S]([O])[O]{0,2} + [H][H]{0,1}	8.21
[H][O][O][S][O][H]{0,1} => [H][O][S]1([H])[O][O]1{0,1}	16.48
[H][O][H]{0,1} + [H][O][S]([O])[O]{0,2} => [H][O][H]{0,1} + [H][O][S]([O])[O]{0,2}	9.36
[H][O][S]([O])[O][H]{0,1} + [H]{0,2} => [H][O][S][O][H]{0,1} + [H][O]{0,2}	15.91
[H][O][O][O]{0,2} + [H][O]{0,2} => [H][O][O]{0,2} + [H][O][O]{0,2}	39.84
[H][S][O]{0,2} + [O][O]{0,1} => [H][S]{0,2} + [O][O][O]{0,1}	1.24
[O][S][O][O]{0,3} => [O][O]{0,3} + [O][S]{0,1}	2.24
[H][O]{0,2} + [O][H]{0,2} + [H][O][O][S][O]{0,2} => [H][O][O][S][O][O][H]{0,1} + [H][O]{0,2}	4.31
[H][O][S][O][O]{0,2} => [H][O][S]{0,2} + [O][O]{0,3}	4.73
[H][O]([H])[O]{0,1} => [H][O][O][H]{0,1}	6.51
[H][O][O][O][S][O]{0,2} => [H][O][O]{0,2} + [O][S][O]{0,1}	5.13
[H][O][S]([O])[O][O]{0,2} => [H][O][S]([O])[O]{0,2} + [O]{0,1}	14.96
[O][S]([H])[O]{0,2} + [O]{0,1} => [O][O]{0,1} + [O][S][H]{0,1}	5.73
[H][O][H]{0,1} + [H][O][O][S][O]{0,2} => [H][O][H]{0,1} + [H][O][O][S][O]{0,2}	50.81
[H][O][H]{0,1} + [H][S][O]{0,2} => [H][O][S]([H])[O]{0,1} + [H]{0,2}	12.54
[H][O][O][O]{0,2} + [O][S]{0,3} => [H][O][O][O][S][O]{0,2}	4.89
[H][O][S]1[O][O]1{0,2} => [H][O][S][O][O]{0,2}	55.33
[H][O][H]{0,1} + [H][O][H]{0,1} + [H][O]{0,2} + [O][S][O]{0,1} => [H][O][H]{0,1} + [H][O][H]{0,1} + [H][O][S]([O])[O]{0,2}	1.74
[H][O][O][O][H]{0,1} + [H][O][S]{0,2} => [H][O][O][O]{0,2} + [H][O][S][H]{0,1}	15.15
[H][O][O][S][O]{0,2} => [H][O][S]{0,2} + [O][O]{0,3}	4.73
[H][O][H]{0,1} + [S]{0,1} => [H][O]{0,2} + [H][S]{0,2}	15.03
[H][O]([H])[H]{0,2} + [S]{0,1} => [H][O][H]{0,1} + [H][S]{0,2}	0.00
[H][O][O][O][S]{0,2} => [H][O][O][O]{0,2} + [S]{0,1}	0.00
[H][O][H]{0,1} + [O][S]{0,1} => [H][O][S][O][H]{0,1}	28.80
[H][O][O]{0,2} + [O][O]{0,3} => [H][O][O][O][O]{0,2}	0.00
